measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Male,10-14 years,Breast cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,10-14 years,Breast cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,15-19 years,Breast cancer,Number,2019,0.6084551013719679,1.0512112303758174,0.3122873527787334
YLDs (Years Lived with Disability),Saudi Arabia,Female,15-19 years,Breast cancer,Number,2019,1.7856442811817739,3.38857403224452,0.7775785943441902
YLDs (Years Lived with Disability),Saudi Arabia,Male,20-24 years,Breast cancer,Number,2019,0.7263739390316093,1.2506448556352923,0.3895536151906574
YLDs (Years Lived with Disability),Saudi Arabia,Female,20-24 years,Breast cancer,Number,2019,11.743460947649128,20.178189685134516,6.178543972789653
YLDs (Years Lived with Disability),Saudi Arabia,Male,25-29 years,Breast cancer,Number,2019,0.8601201596725621,1.5229596645157357,0.45298674926644655
YLDs (Years Lived with Disability),Saudi Arabia,Female,25-29 years,Breast cancer,Number,2019,62.97174751466453,123.85987411960113,26.18426027915469
YLDs (Years Lived with Disability),Saudi Arabia,Male,30-34 years,Breast cancer,Number,2019,0.9371598754423481,1.7855052245833014,0.4877261257572602
YLDs (Years Lived with Disability),Saudi Arabia,Female,30-34 years,Breast cancer,Number,2019,254.4762831048165,470.16461399104986,126.9945824623862
YLDs (Years Lived with Disability),Saudi Arabia,Male,35-39 years,Breast cancer,Number,2019,1.4712766679985148,3.614183187656146,0.5553371419120143
YLDs (Years Lived with Disability),Saudi Arabia,Female,35-39 years,Breast cancer,Number,2019,471.93975092252475,851.0286505019159,224.2930041324468
YLDs (Years Lived with Disability),Saudi Arabia,Male,40-44 years,Breast cancer,Number,2019,3.0805625875517455,8.390049915900594,0.9631052125996643
YLDs (Years Lived with Disability),Saudi Arabia,Female,40-44 years,Breast cancer,Number,2019,699.0552459983988,1254.0178807748919,357.56105686935445
YLDs (Years Lived with Disability),Saudi Arabia,Male,45-49 years,Breast cancer,Number,2019,3.911046320235611,9.87708682141181,1.2459906922328945
YLDs (Years Lived with Disability),Saudi Arabia,Female,45-49 years,Breast cancer,Number,2019,673.9609880995695,1142.465018134979,341.08056217138403
YLDs (Years Lived with Disability),Saudi Arabia,Male,50-54 years,Breast cancer,Number,2019,3.175009861074424,7.443987980623797,1.1314795574092318
YLDs (Years Lived with Disability),Saudi Arabia,Female,50-54 years,Breast cancer,Number,2019,485.7548639738356,817.9895965180052,270.97144758519244
YLDs (Years Lived with Disability),Saudi Arabia,Male,55-59 years,Breast cancer,Number,2019,3.027297071820826,6.856301713137379,1.1209097902819765
